,Car_Title,Manufactured_Year,vehicle_runs_on_road,Vehicle_Fuel_type,Vehicle_mode,Price
0,Hyundai i10 Era 1.1,2007,"69,382 kms ", Petrol , Manual,₹ 60000
1,Hyundai i10 Magna Optional 1.1L,2008,"72,693 kms ", Petrol , Manual,₹ 60000
2,Maruti A-Star Lxi,2008,"1,12,973 kms ", Petrol , Manual,₹ 75000
3,Chevrolet Aveo U-VA 1.2,2009,"78,000 kms ", Petrol , Manual,₹ 90000
4,Hyundai i10 Magna 1.2,2009,"53,969 kms ", Petrol , Manual,₹ 2.10 Lakh
5,Maruti Swift Dzire VXi,2009,"57,388 kms ", Petrol , Manual,₹ 1.50 Lakh
6,Hyundai i10 Magna 1.2,2009,"53,969 kms ", Petrol , Manual,₹ 2.10 Lakh
7,Hyundai i10 Magna 1.2,2009,"53,969 kms ", Petrol , Manual,₹ 2.10 Lakh
8,Maruti Swift 1.3 VXi,2009,"17,989 kms ", Petrol , Manual,₹ 2.00 Lakh
9,Honda City 1.5 S MT,2009,"1,88,479 kms ", Petrol , Manual,₹ 2.00 Lakh
10,Hyundai i10 Magna 1.2,2009,"53,969 kms ", Petrol , Manual,₹ 2.10 Lakh
11,Hyundai i10 Magna 1.2,2010,"1,18,074 kms ", Petrol , Manual,₹ 1.60 Lakh
12,Maruti Wagon R VXI BS IV,2010,"37,819 kms ", Petrol , Manual,₹ 2.00 Lakh
13,Hyundai i10 Magna 1.1,2010,"30,442 kms ", Petrol , Manual,₹ 2.00 Lakh
14,Maruti Swift Dzire 1.2 Vxi BSIV,2010,"47,423 kms ", Petrol , Manual,₹ 1.30 Lakh
15,Mercedes-Benz C-Class C 200 CGI Avantgarde,2010,"61,413 kms ", Petrol , Automatic,₹ 5.50 Lakh
16,Honda City 1.5 S MT,2010,"37,108 kms ", Petrol , Manual,₹ 3.00 Lakh
17,Honda City 1.5 S MT,2010,"37,108 kms ", Petrol , Manual,₹ 3.00 Lakh
18,Maruti Alto LXi BSIII,2010,"47,492 kms ", Petrol , Manual,₹ 1.50 Lakh
19,Maruti Wagon R LX Minor,2010,"76,000 kms ", Petrol , Manual,₹ 1.25 Lakh
20,Maruti Wagon R VXI BS IV,2010,"37,819 kms ", Petrol , Manual,₹ 2.00 Lakh
21,Hyundai i10 Magna 1.1,2010,"30,442 kms ", Petrol , Manual,₹ 2.00 Lakh
22,Audi Q7 3.0 TDI Quattro Premium Plus,2011,"80,000 kms ", Diesel , Automatic,₹ 12.35 Lakh
23,Chevrolet Optra 2.0 LT,2011,"1,20,000 kms ", Diesel , Manual,₹ 1.10 Lakh
24,Maruti Swift Dzire 1.2 ZXi BSIV,2011,"89,848 kms ", Petrol , Manual,₹ 3.25 Lakh
25,Hyundai i10 Magna,2011,"67,785 kms ", Petrol , Manual,₹ 2.00 Lakh
26,Maruti Eeco 5 Seater AC BSIV,2011,"81,320 kms ", Petrol , Manual,₹ 1.00 Lakh
27,Hyundai i10 Sportz Option,2011,"1,06,929 kms ", Petrol , Manual,₹ 1.35 Lakh
28,Honda Brio V MT,2012,"87,968 kms ", Petrol , Manual,₹ 2.00 Lakh
29,Maruti Swift Dzire LDI,2012,"77,000 kms ", Diesel , Manual,₹ 3.00 Lakh
30,Mercedes-Benz S-Class S 350 L,2012,"63,051 kms ", Petrol , Automatic,₹ 12.00 Lakh
31,Nissan Sunny XE,2012,"90,176 kms ", Petrol , Manual,₹ 1.99 Lakh
32,Maruti Ertiga LXI,2012,"51,533 kms ", Petrol , Manual,₹ 3.70 Lakh
33,Honda City E,2012,"57,238 kms ", Petrol , Manual,₹ 3.50 Lakh
34,Maruti Swift Dzire 1.2 Vxi BSIV,2012,"70,678 kms ", Petrol , Manual,₹ 2.50 Lakh
